license_number,dba,business_name,street,naics,naics_desc,description,status
GBL002894-09-2021,Wendy's #6071,Wend Salt Lake City LLC,1176 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Fast Food Restaurant,Active
1002373,GOLDEN CORRAL,GOLDEN CORRAL,988 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,RESTAURANT,Active
1021940,BURGER KING #4609,HB Boys LC,361 2ND ST,7225,Restaurants and Other Eating Places,Fast Food Restaurant,Active
1013794,OGDEN PIZZERIA,OGDEN PIZZERIA INC,936 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Pizza & Pasta Restaurant,Active
1021255,STARBUCKS COFFEE COMPANY,STARBUCKS CORPORATION INC,1135 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,CAFE- SELLING COFFEE AND COFFEE RELATED PRODUCTS,Active
GBL000685-06-2019,Jersey Mike's Subs,Nu Subs LLC,218 12TH ST,7225,Restaurants and Other Eating Places,Submarine Style Sandwich Shop,Active
ALCOHOL002293-02-2021,EL PAISA GRILL,EL PAISA GRILL GROUP FRANCHISE LLC,460 W 12TH ST,7225,Restaurants and Other Eating Places,"Mexican Restuarant w/ Beer, Wine & Liquor",Active
1023380,JAVIERS 3 LLC,JAVIERS 3 LLC,703 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,MEXICAN RESTAURANT,Active
GBL002583-05-2021,Carl's Jr,Snow Star LP,180 12TH ST,7225,Restaurants and Other Eating Places,Fast Food Restaurant,Active
0305121,FRATERNAL ORDER OF EAGLES 2472,FRATERNAL ORDER OF EAGLES 2472,975 WALL AVE,7224,Drinking Places (Alcholic Beverages),"PRIVATE CLUB - D Beer, Wine, Liquor & Cabaret",Active
0162210,MCDONALD'S,MCDONALD'S,1111 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Fast Food Restaurant,Active
1022778,PIZZA HUT # 22545,WASATCH VALLEY PIZZA LLC,205 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Pizza Restaurant - Delivery & Carry Out ONLY,Active
0555318,DAR'S,DAR'S,240 WASHINGTON BLVD,7224,Drinking Places (Alcholic Beverages),"PRIVATE CLUB w/Beer, Wine & Liquor",Active
GBL000026-11-2018,Baskin-Robbins 1166 Washington,Kiwi Scoops LLC,1188 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Selling Ice Cream and Ice Cream Products,Active
GBL003100-11-2021,My Tacoland LLC,My Tacoland LLC,788 WALL AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant with Taco Truck,Active
1025837,ROCKY MOUNTAIN BURGER BUS LLC,Rocky Mountain Burger Bus LLC,671 MONROE BLVD,7223,Special Food Services,MOBILE FOOD TRUCK. COOK FOOD ON SITE. COMMISSARY / COMMERCIAL KITCHEN @ 671 MONROE BLVD. BUS-TRUCK STORED @ BUSINESS ADDRESS.,Active
GBL001166-01-2020,Carnitas El Casito LLC,Carnitas El Casito LLC,675 MONROE BLVD,7225,Restaurants and Other Eating Places,Fast Food Mexican Restaurant,Active
GBL003100-11-2021,My Tacoland LLC,My Tacoland LLC,788 WALL AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant with Taco Truck,Active
1019354,OHANA SUSHI & ASIAN CUISINE,WONG FAMILY LLC,476 12TH ST,7225,Restaurants and Other Eating Places,Restaurant w/Beer & Wine,Active
1002375,PANDA EXPRESS #820,PANDA EXPRESS #820,206 12TH ST,7225,Restaurants and Other Eating Places,CHINESE FOOD RESTAURANT,Active
1002375,PANDA EXPRESS #820,PANDA EXPRESS #820,206 12TH ST,7225,Restaurants and Other Eating Places,CHINESE FOOD RESTAURANT,Active
GBL000443-04-2019,Ruan Thai Restaurant,Water Pots LLC,215 W 12TH ST,7225,Restaurants and Other Eating Places,Thai Restaurant,Active
1020770,THOMAS CUISINE MANAGEMENT CORPORATION,THOMAS CUISINE MANAGEMENT CORPORATION,475 W 13TH ST,7225,Restaurants and Other Eating Places,Contract Food Service Inside Fresenius Corporate Office,Active
1025657,TALISMAN BREWING COMPANY LLC,TALISMAN BREWING COMPANY LLC,1258 GIBSON AVE,7224,Drinking Places (Alcholic Beverages),Tavern - North West Corner of Brewery Building,Active
1026099,BEANS & BREWS COFFEE HOUSE,ARABICA LLC,1275 WALL AVE,7225,Restaurants and Other Eating Places,SPECIALTY COFFEE HOUSE,Active
1026137,CAFE ZUPAS LC,CAFE ZUPAS LC,1293 WALL AVE,7225,Restaurants and Other Eating Places,FAST CASUAL RESTAURANT,Active
1021389,ZAXBY'S,MJM 5G LLC,141 W 12TH ST,7225,Restaurants and Other Eating Places,Fast Food / Casual Restaurant,Active
1026238,LITTLE CAESARS #032,SIZZLING CAESARS LLC,1287 WALL AVE,7225,Restaurants and Other Eating Places,"FAST FOOD, TAKE- OUT PIZZA",Active
GBL000765-07-2019,Freddy's Frozen Custard & Steakburgers,Ogden Custard LLC,235 12TH ST,7225,Restaurants and Other Eating Places,Dine in Restaurant - Frozen Custard & Steakburgers with a Drive Thru Option,Active
1024314,SUBWAY 4150,GROW & YANG PJ LLC,147 12TH ST,7225,Restaurants and Other Eating Places,SUBWAY SANDWICHES,Active
GBL002571-04-2021,The Habit Burger Grill,The Habit Restaurants LLC,335 12TH ST,7225,Restaurants and Other Eating Places,Fast Food Restaurant,Active
GBL002062-12-2020,Kneaders Bakery & Cafe 022,O22 Ogden LLC,1953 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,Bakery & Cafe,Active
1023339,PRAIRIE SCHOONER RESTAURANT & STEAK HOUSE,NEW SHERIFF LLC,445 PARK BLVD,7225,Restaurants and Other Eating Places,"Steak House Restaurant w/Beer, Wine & Liquor",Active
0477404,K F C,HARMAN - LES & ILEENE INC #504,1216 GRANT AVE,7225,Restaurants and Other Eating Places,KENTUCKY FRIED CHICKEN AND A & W ROOTBEER,Active
1025696,THE RUSTED SPOON INC,THE RUSTED SPOON INC,1310 WALL AVE,7225,Restaurants and Other Eating Places,FULL SERVICE RESTARUANT- NO ALCOHOL,Active
