"BURTON ELEMENTARY CAFETERIA","827 200 SOUTH                KAYSVILLE UT 84037",
"CENTERVILLE ELEMENTARY CAFETERIA","650 100 EAST                CENTERVILLE UT 84014",
"CLINTON ELEMENTARY CAFETERIA","1101 1800 NORTH                CLINTON UT 84015",
"COLUMBIA ELEMENTARY CAFETERIA","378 50 WEST                KAYSVILLE UT 84037",
"COOK ELEMENTARY CAFETERIA","1175 1350 SOUTH                SYRACUSE UT 84075",
"CREEKSIDE ELEMENTARY CAFETERIA","275 MUTTON HOLLOW                KAYSVILLE UT 84037",
"CRESTVIEW ELEMENTARY CAFETERIA","185 GOLDEN                LAYTON UT 84041",
"DOXEY ELEMENTARY CAFETERIA","944 250 WEST                SUNSET UT 84015",
"EAGLE BAY ELEMENTARY CAFETERIA","1933 CLARK                FARMINGTON UT 84025",
"EAST LAYTON ELEMENTARY CAFETERIA","2470 CHERRY                LAYTON UT 84040",
"ELLISON PARK ELEMENTARY CAFETERIA","800 COLD CREEK                LAYTON UT 84041",
"ENDEAVOR ELEMENTARY CAFETERIA","1870 25 WEST                KAYSVILLE UT 84037",
"FARMINGTON ELEMENTARY CAFETERIA","50 200 SOUTH                FARMINGTON UT 84025",
"FOXBORO ELEMENTARY CAFETERIA","587 FOXBORO                NORTH SALT LAKE UT 84054",
"HERITAGE ELEMENTARY CAFETERIA","1354 WEAVER                LAYTON UT 84041",
"HOLBROOK ELEMENTARY CAFETERIA","1018 250 NORTH                BOUNTIFUL UT 84010",
"HOLT ELEMENTARY CAFETERIA","448 1000 WEST                CLEARFIELD UT 84015",
"KAYSVILLE ELEMENTARY CAFETERIA","50 100 EAST                KAYSVILLE UT 84037",
"KING ELEMENTARY CAFETERIA","601 1000 NORTH                LAYTON UT 84041",
"KNOWLTON ELEMENTARY CAFETERIA","801 SHEPHERD                FARMINGTON UT 84025",
"LAKESIDE ELEMENTARY CAFETERIA","2941 800 NORTH                WEST POINT UT 84015",
"LAYTON ELEMENTARY CAFETERIA","369 GENTILE                LAYTON UT 84041",
"LINCOLN ELEMENTARY CAFETERIA","591 ANTELOPE                LAYTON UT 84041",
"MEADOWBROOK ELEMENTARY CAFETERIA","700 325 WEST                BOUNTIFUL UT 84010",
"MORGAN ELEMENTARY CAFETERIA","1065 THORNFIELD                KAYSVILLE UT 84037",
"MOUNTAIN VIEW ELEMENTARY CAFETERIA","2025 3100 NORTH                LAYTON UT 84040",
"MUIR ELEMENTARY CAFETERIA","2275 DAVIS                BOUNTIFUL UT 84010",
