facility_id,name,street,city_raw,city,zip
42D383170CA0AA22862576880061653B,BROADMOUTH CANYON RANCH,3985 North 3775 East,LIBERTY,Liberty,84310
271E4D7D1AFAFB3C8625768800612FA6,BROWNING ARMS CAFETERIA,ONE BROWNING PLACE,MORGAN,Morgan,84050
6DBAB8A1D0F0ABC68625801300764D25,BURCH CREEK ELEMENTARY,4300 MADISON AVE,OGDEN,Ogden,84403
36A85B8294F71E608625768800613446,BURGER BAR - Burger Bar,5291 South 1900 West,ROY,Roy,84067
F6D555073BF7782A8625768800612FC3,BURGER KING - Burger King,4027 West RIVERDALE RD,OGDEN,Ogden,84405
9043EB5AB4DC839886258DCD0079EB01,"Burger King #10519 - Kline Hospitality, LLC",4160 Harrison Blvd.,Ogden,Ogden,84403
6CFD175E21467A9486258DCE0055B385,"Burger King #12902 - Kline Hospitality, LLC",2110 Wall Ave.,Ogden,Ogden,84401
F20A1D375182F5F586258DCE00542468,"Burger King #24378 - Kline Hospitality, LLC",2450 S 1900 W,West Haven,West Haven,84401
085E53C1BFC1FC7886258A13006AF616,BURGER KING #31476,5390 South 1900 West,Roy,Roy,84067
47E69FB4067B0FCC8625768800612D80,BURGER KING #4609 - BURGER KING # 4609,361 East 2ND STREET,OGDEN,Ogden,84404
E6D68C260E8F111C86258DCE0050D640,"Burger King #9960 - Kline Hospitality, LLC",3490 W 4800 S,Roy,Roy,84067
094A68FA63242AB6862586920062C75F,BURLY BURGER,1077 West 12th Street,Ogden,Ogden,84404
86F2FC7CCFF5C26C86258BA100561E34,BURLY BURGER II,2970 W 4000 S,West Haven,West Haven,84401
506C85ED683B379B8625768800617FBB,BURRITO GRANDE,5511 South 3500 West,ROY,Roy,84067
8EE71CB15B2D4B5E8625768800613A80,CACTUS REDS,1150 West 2150 South,OGDEN,Ogden,84401
C1C6C27D093BD7308625768800615E85,CAFE' MEGAPLEX,2351 KIESEL AVENUE,OGDEN,Ogden,84401
6B698917A4633AD98625899E0058B012,CAFE LA VOS,3576 Riverdale Road,South Ogden,South Ogden,84405
16296F579C8396598625884F005C4092,CAFE LA VOS - MOBILE,3576 Riverdale Rd,Riverdale,Riverdale,84405
4185B7AF3296532B87257D1E00739F80,Cafe Rio,2629 N 400 E,North Ogden,North Ogden,84414
8CB7FFDF59307FCB8625874A006E7654,CAFE RIO MEXICAN GRILL,5693 So. Harrison Blvd.,South Ogden,South Ogden,84403
9277DBFAD5E3B63686258741007785DA,CAFE RIO MEXICAN GRILL,4194 South Riverdale Road,Riverdale Road,Riverdale,84405
70564D6B80D4F267872578CC0070F330,Cafe Zupas,4245 S RIVERDALE ROAD,RIVERDALE,Riverdale,84405
26BC5E0A81689E5086258300004FD725,CAFE ZUPAS Wall Ave.,1300 S. Wall Ave,Ogden,Ogden,84404
C0068B5BD616F07E86258DCE006CE62B,CALLISTO COFFEE,2563 Monroe Blvd.,Ogden,Ogden,84401
27AF2734D571313E86258E1F00568DD5,CALLISTO COFFEE - COMMISSARY,2563 MONROE BLVD,OGDEN,Ogden,84401
9978060B5F08013B86257688006147CF,CAMP BROWNING,1200 East 5400 South,OGDEN,Ogden,84403
931A1825DE0C578C8625768800618081,CAMP KIESEL-TRAPPER TRAILS CNL,15510 E. CAUSEY DRIVE,HUNTSVILLE,Huntsville,84317
196D2AE22434B5DD8625768800617DF4,CAMP UTABA,7005 North NORTH FORK RD,LIBERTY,Liberty,84310
9FA7BE4967856FE28625768800612957,CANYON VIEW SCHOOL - CANYON VIEW SCHOOL-CAFETERIA,1100 South ORCHARD AVE,OGDEN,Ogden,84404
5C7C210501ACF2E9862586B100740F73,CARL'S JR. #16,180 East 12th Street,Ogden,Ogden,84404
E4060BE772F96D4A862586B100727768,CARL'S JR. #371,1155 W. Riverdale Road,Riverdale,Riverdale,84405
6C04EDB15294954686258887005E6D5C,CARLOS AND HARLEYS,5510 East 2200 North,Eden,Eden,84310
2F3A86C36058EFD9862585CA007A23D9,CARNITAS EL CASITO,675 MONROE BLVD.,OGDEN,Ogden,84404
CBC40BE16B1EED8686258DE7006AE302,"CARNITAS NEGRETE, LLC",1150 N HWY 89,OGDEN,Ogden,84404
5B23B3DFF74C968986258283007DA01D,Casa De Nena,1071 W 27th St.,Ogden,Ogden,84401
ED2EAC48FA1A72E68625872F00593EBB,CASA DE NENA - CART,1071 West 27th Street,Ogden,Ogden,84401
70907E3F50D048D486258C570050F22B,CASCADE LODGE,9091 E. 100 S.,Huntsville,Huntsville,84317
BB16EC70EF59637A86258DE1007673A0,"CENTURY RV, LLC",1399 W 2100 S,OGDEN,Ogden,84401
52E9BC7A14D479B4862589C80060B869,CHEDDAR'S SCRATCH KITCHEN,4171 Riverdale Road,Riverdale,Riverdale,84405
28788F7A4EC1BC798625893300801AE3,Chicho's Flavors Dominican Republic Mobile,5012 So. 4300 West,Hooper,Hooper,84315
BF86FAC230E3396886258933007C401B,Chicho's Flavors of the Dominican Rep,5012 So. 4300 W.,Hooper,Hooper,84315
5B8F30C5B4143CC78625768800619DB6,CHICK-FIL-A,4067 South RIVERDALE ROAD,RIVERDALE,Riverdale,84405
5116F5FFC906AF5C86258BD300792F5F,Chick-fil-A 2700 & Rulon White Blvd FSU - Chick-fil-A,1496 W 2700 N,Pleasant View,Pleasant View,84404
1EEB106E16C42BD187257DAF00732651,Chick-fil-A Ogden #3007,1120 Washington Blvd,Ogden,Ogden,84404
A76E0C415CB7402286258DC3004F0648,Chicken y Carnitas Guerrero,1145 Washington Blvd.Unit 3,Ogden,Ogden,84404
66D8C676B62B006E87257DE000751914,Chila's Tacos,3359 Grant,Ogden,Ogden,84401
B0B49AF3692B713586258CEC0070A2C5,CHILAQUILE BEAST,1978 N 1575 W,Layton,Layton,84041
F63EBC4E1BE77D3186258C1C00531571,CHILDREN'S CLASSIC #1,160 9th St,Ogden,Ogden,84404
2D713FBF7284F9F5862576880061536E,CHILI'S GRILL & BAR,286 EAST NORTH STREET,HARRISVILLE,Harrisville,84404
567F69E9097E492A8625768800612C2A,CHILI'S SOUTHWEST GRILL,1047 West RIVERDALE RD,RIVERDALE,Riverdale,84405
661371CDC5EF486B872581C2007D8884,Chipotle Mexican Grill #3070,849 West Riverdale Road,Riverdale,Riverdale,84405
C3064A88B072A55F862588FA00702C2E,Chipotle Mexican Grill#4174,1269 Washington Blvd.,Ogden,Ogden,84404
A971F5490745A88186258DD20054A46B,CHOUCHOU TEA,5741 S HARRISON BLVD.,OGDEN,Ogden,84403
7C35AB376BC166C48625768800612F52,CHRIS',7345 East 900 South,HUNTSVILLE,Huntsville,84317
51E2DC873C533FB9862576880061439E,CHUCK-A-RAMA,3655 South WASHINGTON BLVD,OGDEN,Ogden,84403
02F3BCA0E8EEFA068625862A00696611,CITY BUFFET,5673 SOUTH 1900 WEST,ROY,Roy,84067
B9D302201C8110898625768800613654,"CITY CLUB, INC. - THE - CITY CLUB, INC - THE",264 East 25TH ST,OGDEN,Ogden,84401
36DCC80C200B8F4E8625768800611ACD,CLASSIC WATERSLIDE SNACK BAR,4181 West RIVERDALE RD,OGDEN,Ogden,84403
FDED745FB71F354E86258E6F005038B1,"COACH RAY'S FOOD ZONE, LLC",477 23rd STREET,OGDEN,Ogden,84404
04293F97F837BB4786258C1900728CE6,COACHS SMOKIN BBQ - MOBILE - COACHS SMOKIN BBQ,"2016 W 5075 S, ROY",,,84067
C22C30C6276B167887258172006BE573,Coffee Links,287 Park Blvd.,Ogden,Ogden,84401
F005311B984FDE60862588DB005B3811,"COFFEE LINKS CUISINE, LLC",1735 Skyline Dr.Unit 3 - 4,South Ogden,South Ogden,84405
FECFCE109C41113286258E2E005B50D0,COGIR OF LOTUS PARK,2639 W 3520 S,West Haven,West Haven,84401
BEF76F489D34953D86258B4D0061D7F4,COLD STONE CREAMERY/ROCKY MTN CHOCOLATE FACTORY,175 25th St Unit 100,Ogden,Ogden,84401
59AC7DD15F199A68872583EC00026DDC,Collier Corner - Collier Corner comissary,1263 North 1700 West,Farr West,Farr West,84404
11F5F9891369B159872584390072F06F,Collier Corner - Collier Corner Mobile Lic# U352W,1263 North 1700 West,Farr West,Farr West,84404
274633E5CF35FDF186258B6D00695F40,COLOMBIAN BURGER HOUSE LLC,4655 S 1900 W Unit 9,Roy,Roy,84067
B3A863ACD96E80E5872579410081FC52,COMFORT INN - KITCHEN,1776 W 2550 N,FARR WEST,Farr West,84404
9C0AFD0F81F600E386258C1B006AF82E,COMFORT INN & SUITES - MORGAN - COMFORT INN & SUITES,215 N Commercial St,Morgan,Morgan,84050
7847C35EBDA26FE486257688006144E0,Common Cents,1184 South WALL AVE,OGDEN,Ogden,84404
116ABC9E07600C3F8625768800613ED0,COMMON CENTS STORES,1888 West 5600 SO.,ROY,Roy,84067
5170ED7E2942DAC28625768800614602,COMMON CENTS STORES - Common Cents,3563 South WALL AVE,OGDEN,Ogden,84404
04583845141A83DE86258B0A0051AADB,CORNER BAKERY CAFE,4315 HARRISON BLVD,OGDEN,Ogden,84403
A99B3BC83FFFD204862585C1007A79B8,COSTA DEL SOL,2433 ADAMS AVENUE,OGDEN,Ogden,84401
10E97248DF59794286258B9000530481,COSTA VIDA,1655 W 2700 N,Farr West,Farr West,84404
4CC5B48E7043C6D78725795E0075AB6D,Costa Vida,4189 Riverdale Rd,Riverdale,Riverdale,84405
7F70D86707E60050862576880061742D,COSTA VIDA,334 23rd STREET,OGDEN,Ogden,84401
AF6E08E66951F6AC8625768800615322,COSTA VIDA,1657 East SKYLINE DR. #1,SOUTH OGDEN,South Ogden,84403
B0FEE0F05A0B6CBD8625768800616D91,COSTCO WHOLESALE #770,3656 WALL AVENUE,SOUTH OGDEN,South Ogden,84403
A03055F6BFC40F4386258AFC0069E071,"COUNTRY CORNER STORE, LLC",4679 W 1150 S ST,OGDEN,Ogden,84404
